category,difficulty,focus,mood,quiz_score,recommended_time
language,hard,5,2,96,64
programming,medium,5,3,99,56
mathematics,medium,1,4,43,50
reading,easy,3,2,59,40
language,medium,5,3,43,56
science,medium,5,2,84,54
language,hard,1,4,63,60
programming,medium,5,2,47,54
science,hard,1,4,68,60
other,hard,5,1,79,62
language,easy,4,1,96,40
other,medium,4,1,73,50
science,medium,4,1,63,50
programming,easy,4,4,100,46
other,easy,2,1,59,36
reading,easy,2,5,72,44
reading,easy,4,4,99,46
reading,hard,5,3,46,66
other,medium,4,3,46,54
language,easy,5,1,69,42
science,hard,2,3,61,60
programming,hard,2,1,89,56
language,medium,3,4,58,54
programming,hard,4,4,72,66
reading,medium,1,4,93,50
mathematics,medium,3,2,43,50
reading,medium,5,1,100,52
programming,hard,3,2,43,60
science,easy,3,1,85,38
programming,hard,5,2,88,64
reading,medium,4,3,65,54
language,hard,2,1,88,56
language,medium,2,1,64,46
programming,hard,3,4,41,64
reading,hard,2,5,89,64
other,easy,2,2,85,38
reading,easy,2,2,69,38
science,hard,2,4,87,62
reading,easy,1,2,89,36
language,hard,1,1,64,54
science,easy,4,2,95,42
other,easy,3,2,44,40
reading,hard,5,3,100,66
reading,easy,4,5,79,48
science,easy,2,5,92,44
programming,hard,1,1,96,54
mathematics,easy,2,3,91,40
other,medium,2,2,48,48
mathematics,easy,4,3,66,44
other,medium,4,4,56,56
programming,hard,5,5,92,70
other,medium,3,5,84,56
reading,hard,2,4,90,62
reading,hard,3,4,45,64
programming,hard,1,2,82,56
other,medium,5,1,80,52
language,medium,5,1,93,52
other,hard,2,2,65,58
other,hard,4,2,51,62
mathematics,medium,3,3,54,52
reading,medium,3,5,93,56
other,medium,3,2,57,50
mathematics,hard,4,1,88,60
other,hard,2,2,81,58
language,easy,2,4,94,42
programming,easy,4,2,62,42
language,easy,5,2,83,44
programming,hard,2,4,93,62
other,medium,5,1,50,52
language,easy,5,5,97,50
mathematics,medium,3,3,82,52
reading,hard,2,3,47,60
language,hard,4,4,56,66
reading,medium,5,1,97,52
mathematics,medium,2,5,86,54
programming,hard,1,4,73,60
science,hard,4,5,82,68
other,easy,1,1,62,34
programming,hard,5,5,69,70
language,easy,4,5,99,48
language,easy,1,3,50,38
science,hard,3,3,46,62
mathematics,easy,5,3,87,46
other,hard,2,5,77,64
science,easy,4,1,62,40
reading,hard,4,4,44,66
language,medium,3,3,43,52
reading,easy,2,3,62,40
mathematics,medium,4,4,69,56
science,hard,3,5,70,66
mathematics,hard,3,4,59,64
other,hard,5,4,84,68
mathematics,easy,1,4,67,40
programming,medium,5,3,83,56
science,hard,2,5,40,64
reading,hard,4,3,98,64
science,medium,5,4,99,58
language,easy,1,1,53,34
programming,easy,4,2,81,42
language,medium,5,3,71,56
science,hard,4,2,43,62
reading,easy,1,4,74,40
mathematics,hard,2,3,97,60
language,easy,1,4,48,40
reading,medium,1,2,58,46
programming,hard,5,4,98,68
language,easy,1,5,44,42
other,easy,4,5,86,48
other,medium,5,4,84,58
science,hard,2,1,63,56
science,medium,4,3,76,54
reading,easy,3,2,55,40
mathematics,easy,1,5,61,42
programming,medium,1,3,55,48
science,medium,3,3,53,52
other,easy,2,5,89,44
reading,medium,3,1,56,48
science,medium,1,5,78,52
science,easy,1,4,65,40
science,easy,1,5,85,42
language,easy,5,5,82,50
reading,hard,5,4,58,68
science,easy,3,3,64,42
science,easy,2,2,87,38
science,medium,2,2,73,48
reading,hard,3,1,97,58
programming,hard,1,5,41,62
language,hard,1,3,85,58
mathematics,easy,1,5,81,42
reading,easy,1,4,86,40
programming,easy,1,2,58,36
language,medium,5,1,87,52
programming,hard,2,4,76,62
language,easy,5,2,50,44
programming,medium,3,5,56,56
reading,medium,5,2,54,54
other,hard,3,1,86,58
reading,easy,1,2,93,36
programming,hard,5,1,44,62
language,easy,4,3,93,44
programming,medium,1,1,56,44
other,hard,2,3,71,60
language,hard,3,3,99,62
other,medium,4,3,81,54
programming,easy,1,3,68,38
programming,medium,3,5,78,56
programming,hard,3,3,78,62
other,hard,2,4,69,62
reading,medium,1,1,64,44
reading,hard,3,3,82,62
other,hard,2,5,79,64
science,hard,5,1,58,62
programming,medium,4,3,73,54
mathematics,medium,5,3,78,56
other,medium,4,5,59,58
other,hard,3,5,76,66
other,easy,5,5,66,50
science,easy,3,3,81,42
language,hard,4,3,68,64
reading,hard,2,5,83,64
science,hard,5,1,55,62
other,hard,4,1,50,60
science,easy,1,2,52,36
programming,hard,3,1,90,58
mathematics,medium,3,1,59,48
other,easy,5,5,68,50
science,hard,3,3,58,62
science,hard,4,4,71,66
other,hard,2,1,63,56
mathematics,medium,2,3,68,50
mathematics,hard,2,2,40,58
other,hard,5,5,84,70
other,hard,1,2,64,56
other,easy,3,1,86,38
mathematics,hard,3,3,41,62
language,medium,5,5,68,60
mathematics,easy,2,2,98,38
mathematics,easy,1,3,59,38
other,easy,1,5,95,42
reading,easy,4,5,48,48
other,medium,4,3,65,54
language,medium,2,5,51,54
reading,easy,2,2,95,38
programming,hard,1,5,89,62
science,easy,4,2,57,42
other,medium,5,5,46,60
language,easy,2,4,66,42
reading,easy,3,4,55,44
reading,medium,5,5,85,60
other,easy,4,5,89,48
programming,easy,5,2,74,44
programming,easy,5,3,52,46
reading,hard,4,4,91,66
language,medium,2,2,46,48
programming,medium,2,2,65,48
language,medium,3,2,100,50
language,hard,2,1,51,56
other,hard,5,5,44,70
science,hard,2,5,52,64
programming,medium,5,2,41,54
reading,medium,3,3,63,52
reading,easy,5,3,99,46
science,hard,1,2,97,56
mathematics,hard,4,5,62,68
science,hard,1,2,90,56
programming,medium,3,1,43,48
reading,hard,1,3,84,58
reading,easy,2,3,53,40
programming,medium,3,4,60,54
other,easy,2,4,89,42
mathematics,hard,2,2,42,58
science,medium,3,5,59,56
programming,medium,4,3,71,54
reading,easy,2,4,80,42
other,hard,3,2,90,60
science,medium,2,2,95,48
programming,medium,4,1,59,50
mathematics,medium,2,5,40,54
reading,hard,1,2,80,56
programming,easy,3,5,88,46
language,hard,2,2,67,58
programming,hard,1,3,44,58
programming,hard,5,5,49,70
programming,hard,5,3,76,66
language,medium,2,4,54,52
language,medium,5,4,81,58
other,easy,2,3,79,40
language,easy,1,1,49,34
language,hard,3,1,57,58
reading,easy,1,5,50,42
mathematics,hard,2,3,96,60
other,hard,3,5,77,66
reading,medium,4,1,64,50
other,easy,5,3,65,46
language,medium,3,1,60,48
science,hard,1,2,100,56
other,medium,3,5,87,56
programming,medium,1,4,49,50
programming,medium,2,2,89,48
other,hard,3,1,73,58
other,easy,3,2,78,40
language,hard,4,4,53,66
mathematics,easy,3,4,48,44
other,hard,4,3,72,64
programming,easy,2,2,96,38
other,hard,5,1,93,62
mathematics,hard,2,2,76,58
programming,easy,2,5,46,44
other,hard,5,2,88,64
other,medium,1,1,69,44
programming,hard,4,2,51,62
other,medium,2,4,42,52
programming,easy,4,1,79,40
other,medium,1,1,50,44
other,medium,4,3,47,54
other,easy,1,5,78,42
reading,hard,1,1,98,54
mathematics,easy,4,5,67,48
reading,hard,1,3,78,58
mathematics,medium,2,5,71,54
programming,easy,1,1,50,34
programming,easy,4,1,60,40
science,easy,5,2,77,44
language,medium,5,3,52,56
other,medium,1,1,68,44
mathematics,medium,2,5,56,54
science,medium,3,1,43,48
other,hard,1,3,70,58
science,easy,4,4,44,46
programming,medium,5,1,100,52
language,medium,5,3,47,56
language,easy,4,5,81,48
science,medium,3,5,75,56
mathematics,medium,4,4,89,56
other,medium,3,2,95,50
mathematics,hard,5,4,81,68
science,easy,5,5,97,50
science,easy,2,2,82,38
mathematics,hard,5,1,66,62
programming,medium,4,5,47,58
other,easy,3,1,45,38
other,medium,5,5,64,60
reading,hard,3,3,50,62
language,hard,5,5,85,70
mathematics,medium,1,3,44,48
programming,hard,3,4,83,64
reading,easy,2,4,72,42
language,medium,1,1,85,44
language,medium,5,4,79,58
language,easy,5,5,93,50
science,hard,2,5,88,64
mathematics,easy,1,5,63,42
other,easy,5,2,64,44
programming,hard,1,1,49,54
science,easy,2,3,79,40
reading,hard,5,2,74,64
other,medium,4,4,91,56
programming,medium,2,1,92,46
other,easy,5,1,100,42
science,medium,2,4,65,52
other,easy,3,1,97,38
language,hard,4,5,75,68
mathematics,easy,4,5,52,48
science,medium,5,1,77,52
language,easy,5,4,97,48
mathematics,easy,1,2,59,36
programming,hard,1,3,100,58
other,hard,2,5,91,64
programming,hard,1,4,52,60
programming,easy,1,2,95,36
programming,hard,5,2,93,64
other,easy,5,3,76,46
reading,hard,2,3,65,60
programming,hard,5,4,46,68
mathematics,hard,4,3,67,64
language,hard,5,3,47,66
language,medium,3,4,42,54
mathematics,hard,1,4,99,60
science,easy,2,4,99,42
reading,medium,3,1,54,48
other,hard,4,2,60,62
programming,medium,4,3,59,54
other,hard,2,3,84,60
other,hard,2,2,61,58
science,hard,4,1,74,60
science,easy,5,1,57,42
mathematics,easy,3,3,72,42
programming,easy,2,1,44,36
mathematics,hard,3,1,59,58
programming,easy,5,3,50,46
science,hard,3,5,100,66
other,hard,3,3,65,62
programming,medium,1,5,40,52
programming,medium,1,2,43,46
mathematics,medium,1,3,51,48
mathematics,medium,1,1,60,44
programming,medium,1,4,60,50
reading,easy,3,3,43,42
reading,easy,4,4,92,46
reading,hard,2,1,85,56
programming,medium,5,5,47,60
programming,hard,5,2,60,64
science,medium,1,1,95,44
programming,hard,4,5,57,68
other,hard,3,3,69,62
other,hard,5,3,52,66
reading,medium,5,5,66,60
language,easy,5,1,72,42
language,easy,3,2,86,40
language,hard,4,4,57,66
programming,medium,4,2,94,52
science,hard,3,5,70,66
other,easy,2,2,70,38
language,hard,2,2,82,58
science,medium,3,5,52,56
programming,easy,1,5,53,42
programming,medium,1,1,78,44
language,hard,2,5,84,64
reading,easy,1,1,86,34
mathematics,medium,5,4,68,58
programming,hard,3,2,76,60
programming,medium,4,3,73,54
mathematics,hard,4,4,71,66
mathematics,hard,4,2,77,62
science,medium,2,5,76,54
mathematics,medium,4,2,67,52
language,medium,4,3,48,54
science,easy,3,5,90,46
reading,hard,4,5,63,68
language,hard,1,1,85,54
science,medium,4,1,84,50
science,medium,3,2,82,50
programming,medium,5,2,52,54
science,medium,5,4,89,58
science,medium,4,3,47,54
language,medium,5,5,77,60
language,medium,3,1,98,48
reading,hard,5,3,76,66
programming,medium,1,5,47,52
reading,hard,2,5,48,64
reading,medium,4,1,99,50
language,easy,1,5,89,42
mathematics,easy,2,5,81,44
programming,medium,1,3,99,48
science,medium,4,4,46,56
mathematics,easy,4,3,90,44
language,medium,4,4,78,56
science,medium,5,3,95,56
reading,medium,5,2,41,54
programming,medium,5,4,71,58
mathematics,medium,3,3,46,52
programming,easy,3,3,96,42
reading,medium,3,5,100,56
other,easy,3,2,92,40
mathematics,hard,1,2,89,56
mathematics,easy,4,3,55,44
mathematics,hard,1,5,83,62
science,medium,2,3,56,50
language,easy,5,3,76,46
science,easy,5,1,49,42
other,hard,1,5,82,62
programming,hard,2,4,53,62
programming,easy,1,5,64,42
mathematics,hard,2,4,75,62
science,easy,2,3,74,40
science,hard,2,4,81,62
science,easy,5,1,72,42
programming,easy,4,5,59,48
mathematics,hard,4,1,84,60
other,medium,5,2,59,54
science,hard,3,2,56,60
other,medium,4,3,56,54
mathematics,hard,5,3,69,66
language,easy,5,5,96,50
mathematics,hard,4,4,43,66
reading,medium,4,1,43,50
programming,medium,1,4,75,50
mathematics,medium,3,5,73,56
other,easy,2,4,52,42
reading,easy,2,4,86,42
other,hard,4,3,40,64
programming,easy,3,3,77,42
language,medium,5,3,60,56
language,hard,4,4,86,66
other,easy,2,4,42,42
programming,medium,5,5,71,60
language,hard,5,1,59,62
reading,easy,3,5,57,46
language,hard,2,5,63,64
reading,medium,2,5,63,54
reading,medium,5,5,55,60
mathematics,hard,1,1,59,54
other,medium,1,3,84,48
reading,hard,4,3,91,64
programming,hard,2,3,56,60
other,medium,5,4,40,58
language,hard,1,1,84,54
reading,medium,5,5,45,60
other,hard,3,4,97,64
other,medium,4,3,44,54
programming,easy,4,2,66,42
science,hard,4,5,65,68
reading,hard,2,2,64,58
reading,medium,1,4,41,50
language,easy,5,5,72,50
other,hard,4,1,45,60
science,hard,4,3,46,64
programming,medium,4,3,81,54
language,hard,2,4,80,62
mathematics,hard,5,5,94,70
language,medium,4,5,52,58
programming,medium,3,5,75,56
mathematics,medium,3,2,66,50
science,easy,1,3,52,38
programming,hard,3,1,65,58
reading,hard,4,2,68,62
reading,hard,2,3,46,60
other,medium,1,3,86,48
programming,hard,2,2,69,58
language,easy,5,4,67,48
programming,easy,1,3,83,38
mathematics,medium,4,4,62,56
programming,medium,4,2,55,52
language,hard,2,5,51,64
reading,medium,2,3,46,50
other,easy,1,2,41,36
science,hard,4,3,100,64
science,easy,4,1,42,40
programming,medium,2,1,47,46
reading,medium,4,4,55,56
mathematics,medium,5,4,70,58
mathematics,hard,4,4,79,66
science,easy,4,3,75,44
mathematics,medium,2,1,96,46
mathematics,easy,4,1,55,40
other,medium,5,2,85,54
language,medium,3,5,98,56
programming,hard,4,5,62,68
reading,hard,2,1,61,56
mathematics,hard,1,3,98,58
other,easy,2,4,46,42
language,easy,3,1,53,38
science,medium,4,1,63,50
programming,medium,2,2,84,48
reading,hard,1,5,82,62
programming,easy,2,1,69,36
science,medium,2,4,95,52
programming,easy,4,4,95,46
programming,medium,3,3,55,52
mathematics,hard,4,3,72,64
language,easy,4,5,95,48
language,easy,5,1,97,42
language,easy,4,3,66,44
language,medium,1,5,44,52
mathematics,easy,5,2,56,44
science,medium,3,5,54,56
programming,easy,2,4,69,42
language,medium,2,2,49,48
mathematics,easy,5,5,92,50
programming,hard,3,2,92,60
language,easy,4,1,48,40
science,medium,1,1,70,44
language,hard,1,3,71,58
other,hard,2,3,90,60
language,medium,1,3,51,48
programming,easy,4,4,70,46
science,hard,1,5,85,62
science,hard,4,5,63,68
mathematics,hard,1,4,50,60
reading,hard,5,2,95,64
science,easy,4,5,73,48
programming,hard,2,3,42,60
science,medium,1,5,71,52
programming,hard,5,1,45,62
other,easy,4,2,58,42
reading,easy,1,5,100,42
language,medium,5,1,63,52
mathematics,hard,1,4,88,60
other,easy,2,4,41,42
other,easy,4,4,55,46
other,hard,4,5,69,68
science,medium,5,4,44,58
language,easy,2,1,84,36
language,medium,3,4,72,54
other,easy,5,2,44,44
other,hard,1,4,49,60
mathematics,medium,4,3,85,54
language,easy,3,5,94,46
other,hard,4,2,98,62
science,hard,2,4,48,62
mathematics,medium,1,1,48,44
reading,hard,1,3,81,58
science,hard,1,5,80,62
science,hard,1,5,58,62
science,hard,1,4,83,60
reading,easy,5,5,44,50
reading,hard,2,4,67,62
language,medium,3,5,42,56
science,hard,3,2,82,60
other,medium,4,2,44,52
mathematics,hard,4,5,77,68
reading,hard,5,2,90,64
other,hard,4,4,41,66
other,medium,2,2,93,48
language,easy,2,5,68,44
reading,easy,2,3,45,40
science,easy,1,1,49,34
other,hard,2,4,84,62
programming,hard,1,2,62,56
reading,medium,1,4,64,50
mathematics,easy,4,2,82,42
science,hard,5,4,74,68
other,easy,4,3,58,44
reading,easy,3,5,86,46
language,medium,4,4,64,56
mathematics,hard,3,1,96,58
reading,hard,2,3,93,60
language,easy,4,3,43,44
language,medium,3,1,85,48
language,easy,4,3,65,44
language,easy,2,2,87,38
reading,easy,1,4,64,40
mathematics,easy,4,2,97,42
mathematics,medium,3,1,99,48
science,hard,1,1,64,54
science,hard,2,4,79,62
science,medium,4,4,56,56
mathematics,medium,2,4,89,52
programming,medium,1,5,77,52
reading,medium,3,1,65,48
programming,medium,2,4,80,52
language,medium,3,1,83,48
science,medium,2,4,46,52
mathematics,hard,4,1,41,60
reading,medium,2,4,68,52
reading,medium,5,3,50,56
language,medium,1,3,77,48
programming,hard,1,3,48,58
programming,easy,4,3,76,44
programming,easy,5,1,67,42
other,hard,3,2,84,60
science,easy,4,1,73,40
other,medium,1,3,100,48
mathematics,easy,3,4,100,44
science,medium,1,2,66,46
reading,medium,2,1,50,46
science,hard,3,2,80,60
mathematics,easy,4,2,89,42
programming,easy,1,4,66,40
language,hard,1,2,84,56
reading,medium,2,2,59,48
mathematics,hard,3,1,65,58
science,easy,3,1,52,38
other,easy,2,1,83,36
programming,medium,5,2,71,54
science,easy,1,5,69,42
reading,hard,5,3,61,66
programming,medium,5,3,98,56
science,easy,2,5,86,44
other,medium,5,2,99,54
reading,easy,3,3,70,42
reading,medium,4,2,80,52
mathematics,medium,2,4,96,52
other,medium,1,5,50,52
mathematics,easy,1,1,58,34
science,easy,3,2,66,40
language,easy,5,2,70,44
language,easy,2,3,55,40
programming,hard,2,5,77,64
language,medium,5,3,49,56
reading,hard,5,1,86,62
programming,easy,1,5,68,42
science,medium,2,5,56,54
reading,medium,3,5,54,56
science,medium,1,2,55,46
other,hard,1,5,87,62
mathematics,easy,4,5,51,48
mathematics,easy,1,5,50,42
mathematics,medium,1,4,92,50
programming,medium,3,2,56,50
science,medium,2,1,66,46
programming,easy,2,3,99,40
other,hard,4,1,80,60
mathematics,easy,5,1,87,42
programming,easy,1,5,74,42
science,easy,1,2,49,36
mathematics,hard,3,3,99,62
science,medium,3,3,92,52
programming,easy,4,1,87,40
language,hard,2,4,66,62
language,hard,2,2,99,58
reading,medium,1,4,70,50
language,easy,3,5,91,46
mathematics,medium,4,4,50,56
other,medium,4,2,90,52
reading,hard,2,4,51,62
science,medium,5,4,89,58
programming,medium,3,2,68,50
science,easy,4,2,81,42
reading,medium,4,4,58,56
language,medium,3,2,99,50
reading,easy,1,1,97,34
reading,easy,4,2,97,42
mathematics,hard,1,4,96,60
mathematics,medium,4,4,70,56
reading,medium,4,1,80,50
language,medium,3,1,79,48
mathematics,hard,1,2,60,56
language,hard,5,1,67,62
mathematics,medium,3,1,63,48
science,easy,1,4,52,40
programming,hard,1,1,50,54
other,easy,2,3,93,40
other,easy,1,3,77,38
programming,medium,2,3,72,50
mathematics,medium,4,4,75,56
language,medium,2,2,89,48
science,easy,3,4,47,44
mathematics,easy,1,5,78,42
programming,medium,5,2,51,54
programming,hard,4,5,87,68
mathematics,easy,3,2,88,40
reading,easy,5,3,85,46
reading,hard,3,4,57,64
science,medium,1,1,40,44
programming,easy,1,5,64,42
science,hard,3,4,64,64
programming,easy,5,4,86,48
science,easy,4,3,64,44
mathematics,hard,1,4,56,60
other,medium,3,3,98,52
science,easy,4,4,40,46
language,easy,2,1,54,36
science,hard,1,5,100,62
mathematics,medium,1,3,45,48
other,medium,3,5,47,56
other,medium,5,1,61,52
reading,hard,2,1,71,56
science,medium,2,1,49,46
language,hard,3,5,74,66
language,easy,4,3,69,44
science,easy,5,1,89,42
other,medium,4,2,84,52
other,easy,3,4,93,44
language,easy,3,5,64,46
other,medium,5,3,94,56
programming,easy,1,5,69,42
programming,easy,5,4,65,48
science,easy,3,3,55,42
mathematics,hard,4,3,73,64
mathematics,easy,1,3,51,38
science,hard,1,4,60,60
programming,easy,4,2,40,42
language,easy,5,4,48,48
language,hard,4,2,84,62
science,easy,2,1,92,36
language,easy,2,3,96,40
programming,medium,1,3,80,48
programming,easy,5,3,94,46
programming,medium,1,3,100,48
science,medium,2,4,58,52
language,easy,1,2,78,36
language,easy,5,5,60,50
science,hard,5,5,46,70
language,medium,2,2,70,48
science,easy,2,4,53,42
reading,hard,5,4,47,68
reading,medium,2,4,54,52
reading,medium,2,4,71,52
programming,hard,3,1,97,58
reading,easy,3,1,90,38
programming,hard,3,4,55,64
programming,hard,5,1,83,62
science,hard,4,4,64,66
language,easy,1,5,74,42
other,easy,2,2,61,38
science,easy,4,2,92,42
science,easy,4,5,61,48
language,medium,3,4,56,54
other,medium,5,2,52,54
programming,medium,3,2,67,50
programming,easy,2,1,95,36
language,easy,4,4,54,46
language,easy,3,2,76,40
mathematics,hard,4,1,51,60
programming,hard,3,5,61,66
other,easy,5,5,61,50
other,hard,2,2,59,58
language,hard,1,3,68,58
reading,medium,5,5,81,60
mathematics,hard,5,1,75,62
science,medium,2,4,85,52
other,easy,3,2,42,40
other,easy,5,1,99,42
science,easy,2,4,98,42
reading,medium,4,4,45,56
programming,easy,4,3,87,44
reading,hard,4,5,88,68
science,hard,2,2,78,58
science,hard,1,3,73,58
programming,easy,2,1,45,36
language,easy,1,1,41,34
programming,hard,5,3,57,66
reading,easy,1,5,52,42
mathematics,medium,5,3,62,56
reading,medium,1,3,71,48
programming,easy,3,1,66,38
programming,easy,5,5,61,50
mathematics,easy,3,2,43,40
reading,easy,3,3,97,42
programming,hard,3,5,77,66
science,easy,5,5,87,50
mathematics,hard,2,5,94,64
language,medium,3,3,40,52
reading,medium,4,2,87,52
other,hard,3,5,63,66
reading,easy,2,2,42,38
other,hard,3,4,59,64
programming,easy,2,5,83,44
other,easy,2,1,73,36
language,easy,2,3,44,40
mathematics,medium,1,4,55,50
science,hard,2,4,76,62
mathematics,easy,4,3,73,44
programming,medium,1,1,45,44
programming,easy,2,1,44,36
other,easy,4,1,82,40
science,hard,4,3,62,64
reading,medium,5,1,78,52
programming,easy,3,2,83,40
science,hard,4,3,57,64
programming,hard,2,5,67,64
reading,medium,1,3,86,48
programming,hard,4,5,94,68
mathematics,hard,3,2,51,60
science,hard,5,5,100,70
other,medium,4,3,77,54
science,easy,3,5,55,46
mathematics,medium,5,2,96,54
language,hard,1,2,73,56
mathematics,easy,1,4,52,40
mathematics,medium,4,3,47,54
other,medium,4,4,91,56
science,hard,5,1,68,62
science,hard,1,1,79,54
language,easy,1,2,89,36
programming,medium,1,5,72,52
language,medium,4,4,68,56
mathematics,easy,2,5,64,44
reading,hard,5,5,87,70
science,hard,5,3,57,66
science,medium,5,1,48,52
programming,easy,4,5,47,48
programming,hard,4,1,84,60
reading,medium,5,3,100,56
reading,medium,4,4,73,56
other,easy,1,4,77,40
reading,hard,2,3,62,60
programming,medium,2,4,71,52
language,medium,3,3,57,52
science,easy,3,5,89,46
mathematics,hard,2,2,80,58
other,easy,2,2,99,38
programming,medium,1,2,43,46
other,medium,1,5,81,52
mathematics,easy,4,2,95,42
science,easy,3,2,92,40
science,easy,4,1,91,40
science,hard,5,5,78,70
reading,easy,5,1,68,42
reading,medium,4,2,61,52
programming,hard,1,3,52,58
other,easy,5,3,57,46
programming,easy,5,1,83,42
language,easy,5,4,54,48
programming,medium,5,2,75,54
other,hard,1,1,44,54
reading,easy,4,2,96,42
reading,easy,5,5,88,50
language,medium,2,2,77,48
other,easy,2,2,72,38
mathematics,easy,1,4,89,40
reading,easy,3,4,99,44
mathematics,hard,1,3,80,58
programming,medium,1,4,70,50
